index,pair,tile,action
0,54,80,2
1,12,83,92
2,16,83,7
3,21,83,23
4,87,83,69
5,91,83,45
6,94,83,95
7,103,83,3
8,104,83,17
9,105,83,48
10,106,83,64
11,207,83,18
12,10,84,41
13,15,84,16
14,15,84,22
15,71,84,70
16,89,84,7
17,91,84,1
18,108,84,47
19,118,84,0
20,123,84,102
21,198,84,7
22,202,84,3
23,204,84,0
24,215,84,43
25,540,84,58
26,6,85,28
27,22,85,77
28,27,85,45
29,58,85,33
30,111,85,44
31,112,85,75
32,113,85,104
33,116,85,86
34,122,85,33
35,125,85,19
36,193,85,44
37,255,85,4
38,13,86,99
39,15,86,21
40,18,86,105
41,38,86,25
42,39,86,20
43,46,86,3
44,52,86,18
45,53,86,15
46,74,86,86
47,75,86,80
48,80,86,95
49,91,86,18
50,98,86,16
51,103,86,101
52,109,86,26
53,109,86,92
54,113,86,2
55,115,86,94
56,117,86,31
57,119,86,44
58,124,86,6
59,126,86,38
60,127,86,19
61,132,86,44
62,132,86,46
63,136,86,88
64,138,86,26
65,141,86,9
66,142,86,38
67,145,86,87
68,150,86,39
69,152,86,7
70,154,86,90
71,156,86,21
72,158,86,0
73,158,86,90
74,159,86,106
75,161,86,37
76,163,86,20
77,166,86,6
78,167,86,2
79,168,86,89
80,170,86,92
81,174,86,95
82,177,86,15
83,180,86,43
84,182,86,19
85,183,86,100
86,250,86,3
87,257,86,94
88,264,86,47
89,577,86,22
90,585,86,47
91,597,86,92
92,598,86,32
93,0,87,91
94,16,87,38
95,16,87,92
96,21,87,3
97,24,87,92
98,30,87,12
99,30,87,47
100,31,87,77
101,32,87,45
102,41,87,52
103,42,87,94
104,50,87,47
105,56,87,9
106,59,87,90
107,72,87,27
108,92,87,75
109,95,87,21
110,97,87,89
111,113,87,72
112,191,87,91
113,198,87,8
114,203,87,38
115,206,87,99
116,212,87,91
117,214,87,94
118,246,87,100
119,300,87,45
120,400,87,36
121,459,87,67
122,497,87,42
123,523,87,33
124,553,87,47
125,565,87,14
126,569,87,18
127,587,87,94
128,5,88,79
129,6,88,41
130,8,88,0
131,11,88,86
132,11,88,106
133,19,88,1
134,36,88,73
135,55,88,23
136,56,88,36
137,67,88,43
138,67,88,102
139,78,88,98
140,85,88,0
141,102,88,47
142,104,88,15
143,110,88,95
144,112,88,25
145,114,88,52
146,137,88,90
147,138,88,56
148,157,88,43
149,180,88,36
150,182,88,87
151,218,88,16
152,224,88,41
153,226,88,2
154,227,88,22
155,233,88,81
156,246,88,54
157,247,88,51
158,252,88,95
159,256,88,23
160,268,88,38
161,358,88,81
162,360,88,93
163,395,88,90
164,398,88,80
165,413,88,91
166,416,88,77
167,435,88,22
168,460,88,47
169,464,88,93
170,470,88,68
171,473,88,103
172,482,88,66
173,515,88,91
174,520,88,26
175,531,88,18
176,535,88,104
177,536,88,54
178,544,88,41
179,546,88,40
180,551,88,86
181,581,88,83
182,592,88,15
183,20,89,94
184,23,89,42
185,37,89,76
186,39,89,47
187,40,89,42
188,43,89,13
189,50,89,94
190,65,89,0
191,65,89,12
192,84,89,52
193,94,89,33
194,95,89,24
195,106,89,55
196,107,89,1
197,115,89,79
198,119,89,6
199,120,89,23
200,122,89,99
201,124,89,92
202,195,89,23
203,220,89,52
204,243,89,27
205,311,89,99
206,314,89,90
207,342,89,22
208,343,89,22
209,350,89,102
210,401,89,8
211,439,89,107
212,444,89,21
213,479,89,14
214,480,89,18
215,488,89,43
216,490,89,71
217,499,89,84
218,502,89,102
219,516,89,64
220,519,89,44
221,519,89,94
222,2,90,93
223,3,90,98
224,5,90,7
225,8,90,4
226,9,90,7
227,11,90,5
228,13,90,0
229,19,90,45
230,29,90,71
231,30,90,89
232,33,90,1
233,34,90,59
234,44,90,82
235,47,90,83
236,48,90,24
237,50,90,106
238,57,90,106
239,59,90,78
240,60,90,106
241,62,90,19
242,81,90,7
243,82,90,92
244,84,90,1
245,85,90,5
246,98,90,4
247,99,90,44
248,116,90,94
249,153,90,7
250,185,90,90
251,190,90,32
252,196,90,93
253,197,90,93
254,214,90,13
255,229,90,35
256,244,90,5
257,246,90,5
258,250,90,45
259,253,90,95
260,254,90,57
261,255,90,30
262,267,90,34
263,269,90,68
264,271,90,94
265,350,90,95
266,17,91,29
267,27,91,19
268,35,91,70
269,38,91,47
270,56,91,46
271,63,91,67
272,68,91,77
273,79,91,11
274,80,91,20
275,101,91,16
276,102,91,41
277,139,91,88
278,63,92,107
279,66,92,15
280,74,92,1
281,80,92,23
282,222,92,23
283,449,92,82
284,0,93,25
285,0,93,92
286,5,93,1
287,5,93,16
288,52,93,58
289,79,93,22
290,27,94,4
291,40,94,0
292,41,94,89
293,49,94,5
294,56,94,104
295,2,95,7
296,5,95,4
297,8,95,21
298,37,95,63
299,45,95,39
300,47,95,16
301,49,95,20
302,55,95,91
303,178,95,101
304,0,96,6
305,24,96,46
306,26,96,14
307,42,96,80
308,43,96,22
309,60,96,15
310,61,96,94
311,62,96,11
312,64,96,93
313,71,96,105
314,80,96,3
315,83,96,1
316,91,96,98
317,127,96,9
318,201,96,4
319,254,96,95
320,263,96,5
321,2,97,20
322,4,97,107
323,34,97,9
324,38,97,9
325,51,97,29
326,54,97,87
327,65,97,67
328,87,97,5
329,124,97,19
330,0,98,43
331,11,98,20
332,11,98,93
333,18,98,0
334,19,98,93
335,24,98,4
336,25,98,11
337,28,98,17
338,29,98,22
339,36,98,26
340,37,98,95
341,77,98,93
342,100,98,52
343,121,98,58
344,133,98,17
345,197,98,88
346,204,98,1
347,206,98,31
348,210,98,46
349,214,98,35
350,222,98,46
351,347,98,11
352,350,98,93
353,13,99,0
354,30,99,22
355,45,99,82
356,54,99,88
357,73,99,86
358,77,99,17
359,99,99,68
360,105,99,94
361,118,99,91
362,220,99,82
363,225,99,13
364,237,99,83
365,261,99,46
366,542,99,16
367,596,99,72
368,597,99,10
369,0,100,92
370,1,100,44
371,3,100,12
372,98,100,13
373,183,100,19
374,241,100,33
375,451,100,9
376,11,101,30
377,17,101,21
378,26,101,42
379,29,101,1
380,37,101,33
381,75,101,22
382,121,101,50
383,251,101,42
384,8,102,18
385,13,102,43
386,20,102,16
387,21,102,68
388,63,102,63
389,90,102,1
390,114,102,95
391,141,102,42
392,162,102,3
393,186,102,24
394,187,102,39
395,195,102,29
396,198,102,102
397,259,102,30
398,301,102,19
399,25,103,29
400,42,103,36
401,97,103,5
402,106,103,25
403,208,103,13
404,67,104,0
405,70,104,58
406,7,105,59
407,30,105,87
408,37,105,2
409,72,105,25
410,100,105,79
411,199,105,94
412,204,105,25
413,216,105,4
414,218,105,8
415,245,105,21
416,267,105,75
417,578,105,44
418,4,106,24
419,23,106,0
420,25,106,17
421,39,106,89
422,42,106,88
423,61,106,15
424,69,106,14
425,72,106,21
